year,value,value2
1800,5.6370,null
1801,5.6547,null
1802,5.6218,null
1803,5.6524,null
1804,5.6463,null
1805,5.6402,null
1806,5.6415,null
1807,5.6416,null
1808,5.6665,null
1809,5.6478,null
1810,5.6561,null
1811,5.6655,null
1812,5.6747,null
1813,5.6403,null
1814,5.6471,null
1815,5.6533,null
1816,5.6532,null
1817,5.6501,null
1818,5.6391,null
1819,5.6500,null
1820,5.6529,null
1821,5.6491,null
1822,5.6510,null
1823,5.6697,null
1824,5.6839,null
1825,5.6489,null
1826,5.6412,null
1827,5.6364,null
1828,5.6446,null
1829,5.6395,null
1830,5.6491,null
1831,5.6431,null
1832,5.6533,null
1833,5.6668,null
1834,5.6568,null
1835,5.6488,null
1836,5.6450,null
1837,5.6492,null
1838,5.6522,null
1839,5.6539,null
1840,5.6469,null
1841,5.6453,null
1842,5.6529,null
1843,5.6377,null
1844,5.6605,null
1845,5.6481,null
1846,5.6485,null
1847,5.6492,null
1848,5.6597,null
1849,5.6482,null
1850,5.6551,null
1851,5.6558,null
1852,5.6544,null
1853,5.6559,null
1854,5.6606,null
1855,5.6561,null
1856,5.6501,null
1857,5.6493,null
1858,5.6458,null
1859,5.6498,null
1860,5.6552,null
1861,5.6577,null
1862,5.6624,null
1863,5.6569,null
1864,5.6523,null
1865,5.6635,null
1866,5.6580,null
1867,5.6561,null
1868,5.6682,null
1869,5.6757,null
1870,5.6622,null
1871,5.6694,null
1872,5.6666,null
1873,5.6756,null
1874,5.6764,null
1875,5.6779,null
1876,5.6747,null
1877,5.6545,null
1878,5.6656,null
1879,5.6815,null
1880,5.6716,null
1881,5.6720,null
1882,5.6761,null
1883,5.6847,null
1884,5.6769,null
1885,5.6746,null
1886,5.6612,null
1887,5.6767,null
1888,5.6777,null
1889,5.6694,null
1890,5.6672,null
1891,5.6609,null
1892,5.6656,null
1893,5.6642,null
1894,5.6568,null
1895,5.6686,null
1896,5.6630,null
1897,5.6717,null
1898,5.6637,null
1899,5.6747,null
1900,5.6628,null
1901,5.6684,null
1902,5.6647,null
1903,5.6671,null
1904,5.6754,null
1905,5.6660,null
1906,5.6707,null
1907,5.6588,null
1908,5.6578,null
1909,5.6510,null
1910,5.6537,null
1911,5.6599,null
1912,5.6542,null
1913,5.6433,null
1914,5.6532,6
1915,5.6239,6
1916,5.6231,6
1917,5.6311,6
1918,5.6230,6
1919,5.6217,null
1920,5.6227,null
1921,5.6261,null
1922,5.6484,null
1923,5.6618,null
1924,5.6667,null
1925,5.6689,null
1926,5.6647,null
1927,5.6679,null
1928,5.6593,null
1929,5.6609,null
1930,5.6631,null
1931,5.6617,null
1932,5.6709,null
1933,5.6649,null
1934,5.6475,null
1935,5.6600,null
1936,5.6372,null
1937,5.6344,null
1938,5.6346,null
1939,5.6361,6
1940,5.6134,6
1941,5.6297,6
1942,5.6076,6
1943,5.6118,6
1944,5.6305,6
1945,5.6275,6
1946,5.6459,null
1947,5.6419,null
1948,5.6457,null
1949,5.6484,null
1950,5.6429,null
1951,5.6537,null
1952,5.6458,null
1953,5.6458,null
1954,5.6445,null
1955,5.6370,null
1956,5.6441,null
1957,5.6287,null
1958,5.6355,null
1959,5.6377,null
1960,5.6279,null
1961,5.6259,null
1962,5.6211,null
1963,5.6204,null
1964,5.6177,null
1965,5.6114,null
1966,5.6145,null
1967,5.6187,null
1968,5.6101,null
1969,5.6091,null
1970,5.6196,null
1971,5.6045,null
1972,5.6038,null
1973,5.6047,null
1974,5.5957,null
1975,5.6000,null
1976,5.5922,null
1977,5.5966,null
1978,5.5922,null
1979,5.5920,null
1980,5.5963,null
1981,5.5919,null
1982,5.5892,null
1983,5.6017,null
1984,5.5975,null
1985,5.5943,null
1986,5.5963,null
1987,5.5940,null
1988,5.6019,null
1989,5.5992,null
1990,5.6025,null
1991,5.6092,null
1992,5.6108,null
1993,5.6100,null
1994,5.6136,null
1995,5.6128,null
1996,5.6197,null
1997,5.6131,null
1998,5.6169,null
1999,5.6179,null
2000,5.6164,null
2001,5.6050,null
2002,5.6081,null
2003,5.6159,null
2004,5.6184,null
2005,5.6184,null
2006,5.6353,null
2007,5.6393,null
2008,5.6393,null