Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Q1 2021,Q2 2021,Q3 2021,Q4 2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022
"Afghanistan, Islamic Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,895","5,145","6,305","7,114","7,075","7,326","6,839","7,403","8,211","8,293","8,560","9,727",,"9,411",,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,145","2,359","2,371","2,542","2,471","2,601","2,774","2,661","3,136","3,105","3,593","3,892","3,774","4,838","5,632","4,753","4,664","4,869","5,632",,"5,453","5,099","4,935",
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"192,359","201,250","202,240","186,722","150,900","121,208","105,967","88,334","72,637","60,416","57,740","55,568","55,226","56,541","57,740",,"58,730","59,961",,
"Andorra, Principality of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,599,"1,380","3,197","8,178","11,197","17,506","12,879","18,441","27,164","32,155","32,213","27,735","24,419","24,353","18,228","16,170","17,211","14,879","15,508","14,964","15,098","16,255","15,508","14,550","14,386","14,094","13,580","14,550"
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,47,48,56,76,66,59,53,56,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,297,356,330,314,329,279,222,324,,,,,,,,,
Argentina,,,,,,,,,,,,"8,079","11,366","15,924","16,595","16,502","20,144","22,974","26,513","27,479","27,651","14,923","10,570","15,128","20,523","32,513","32,034","46,165","46,385","47,966","52,188","46,375","43,290","30,600","31,407","25,563","39,307","55,052","65,779","44,845","39,387","39,662","39,597","42,437","42,911","39,662",,"43,137","42,781","37,615",
"Armenia, Rep. of",,,,,,,,,,,,,,,,,,239,293,303,314,331,442,512,578,762,"1,072","1,657","1,407","2,004","1,866","1,932","1,799","2,252","1,489","1,775","2,204","2,314","2,259","2,850","2,616","3,230","3,009","3,114","3,191","3,230",,"2,940","3,450","3,739",
"Aruba, Kingdom of the Netherlands",,,,,,,,,,,,,,,,,,,248,246,236,324,378,342,344,331,408,465,701,701,724,712,787,666,693,828,937,922,995,999,"1,234","1,534",,,,,,,,,
Australia,,,,,,,,,,"17,028","19,328","19,338","13,848","14,188","14,308","14,949","17,402","17,094","15,377","21,956","18,817","18,664","21,567","33,258","36,927","43,257","55,080","26,908","32,922","41,743","42,268","46,825","49,222","52,801","53,893","49,267","55,070","68,828","57,489","60,032","45,884","61,596","48,331","48,715","60,493","61,596","63,583","61,172","59,585","59,312","63,583"
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,"11,832","12,901","18,209","16,689","18,040","22,283","25,160","27,213","23,290","24,941","22,236","23,359","21,575","23,207","23,601","30,470","33,983","27,673","28,199","33,092","33,983",,"35,389","33,529","31,471",
"Azerbaijan, Rep. of",,,,,,,,,,,,,,,,,,,,676,951,725,721,803,"1,076","1,178","2,500","4,273","6,467",,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahrain, Kingdom of",,,,,,,,,,"1,081","1,882","1,359","1,266","1,153","1,110","1,280","1,271","1,369","1,356","1,379","1,575","1,695","1,486","1,539","1,701","1,987","2,814","4,235","3,937","3,822","5,096","4,551","5,211","5,354","6,055","3,414","2,447","2,635","2,149","3,681",,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,"2,337","1,842","1,558","1,921","1,618","1,511","1,306","1,683","2,578","3,172","2,826","3,877","5,278","5,789","10,343","11,178","9,192","12,751","18,092","22,311","27,493","32,279","33,424","32,019","32,692","43,165","46,154","43,442","46,393","46,191","46,154",,"44,145","41,827","36,505",
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,918,744,725,754,598,,,,,,,,,,,,,,,,,
"Belarus, Rep. of",,,,,,,,,,,,,,,,,469,394,339,305,357,359,478,499,770,"1,297","1,383","4,182","3,061","5,653","5,031","7,916","8,095","6,651","5,059","4,176","4,927","7,315","7,158","9,394","7,468","8,425","6,939","7,408","8,453","8,425","9,296","8,991","8,870","8,818","9,296"
Belgium,,"19,698","20,306","18,641","16,064","16,845","19,665","27,107","24,082","23,796","24,883","24,233","22,827","22,514","23,482","23,482","23,050","21,382","20,503","13,310","12,242","13,569","14,698","14,449","13,988","11,996","13,436","16,505","15,646","23,983","26,815","29,432","30,769","26,924","25,394","24,098","23,566","26,159","26,871","28,957","33,319","41,893","30,904","31,734","40,822","41,893",,"42,170","40,371","38,688",
Belgium-Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,262,253,262,400,459,580,591,718,635,656,912,"1,209","1,263","1,230","1,200",887,713,695,722,737,267,798,941,"1,376","1,607",870,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,137,143,153,155,153,163,181,221,208,221,227,221,,237,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,549,684,757,777,672,918,998,959,"1,140","1,008","1,079","1,116","1,366","1,308","1,536","1,308","1,299",971,804,948,804,676,
Bolivia,,,,,,,,,,,,,,,,,,"1,314","1,327","1,360","1,305","1,285","1,049","1,253","1,432","1,959","3,192","5,319","7,722","8,581","9,730","12,020","13,927","14,430","15,123","13,056","10,082","10,261","8,946","6,467","5,276","4,752","4,526","4,626","4,829","4,752",,"4,598","4,503","3,844",
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,"2,464","2,565","3,690","5,042","4,480","4,576","4,412","4,250","4,391","4,984","4,858","4,791","5,137","6,509","6,809","7,207","8,709","9,475","8,188","8,619","9,186","9,475","8,763","9,078","8,550","8,199","8,763"
Botswana,,,,,,,,,,,,,,,"4,401","4,693","5,032","5,676","5,940","6,229","6,317","5,896","5,473","5,339","5,654","6,279","7,954","9,744","9,125","8,679","7,893","8,010","7,627","7,768","8,313","7,553","7,210","7,455","6,652","6,139","4,943","4,767",,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,"35,866","37,837","49,296","52,935","53,799","85,839","180,334","193,783","238,539","288,575","352,010","373,147","358,806","363,550","356,463","365,015","373,966","374,715","356,884","355,620","362,204","347,413","352,486","368,886","362,204",,"353,169","341,958","327,580",
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,"3,056","3,222","3,460","3,580","4,747","6,827","9,336","8,695","11,756","17,537","17,923","18,527","17,232","17,272","20,503","19,883","20,106","22,163","25,191","28,377","28,710","27,904","37,858","39,186","33,629","35,326","37,590","39,186",,"36,660","34,779","36,018",
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,433,552,"1,029",928,"1,296","1,068",957,"1,025",628,297,260,51,"1,649","1,620","1,795","1,821","1,797",,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,122,75,54,43,24,65,74,69,114,133,179,267,323,332,296,309,329,317,136,95,102,71,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,139,174,255,379,392,393,391,335,393,478,509,495,565,619,605,740,712,673,628,615,604,673,649,681,653,578,649
Cambodia,,,,,,,,,,,,,,,,192,504,575,447,509,611,676,790,863,936,"1,042","1,097","1,616","2,164","2,367","3,817","4,072","4,751","4,923","5,829","6,788","9,152","12,232","14,713","18,793","21,333","20,263","20,259","20,233","19,690","20,263",,"20,347","19,522","17,663",
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,431","3,508","3,204","3,568","2,260","3,235","3,503","3,766","3,704","1,979",,,,,,,,,
Canada,"4,030","4,371","3,793","4,205","3,182","3,276","4,096","8,197","16,199","16,794","18,580","16,902","11,909","12,769","12,484","15,227","20,578","17,969","23,430","28,650","32,425","34,253","37,189","36,267","34,478","33,018","35,063","41,082","43,873","54,357","57,151","65,819","68,546","71,936","74,700","79,753","82,718","86,678","83,931","84,897","89,687","105,479","83,375","89,053","106,176","105,479","106,908","103,764","106,282","102,771","106,908"
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,151,162,185,217,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,"15,660","18,273","16,292","14,952","15,114","14,410","15,352","15,852","16,016","16,962","19,428","16,910","23,161","25,377","27,863","41,979","41,649","41,093","40,447","38,641","40,493","38,982","39,859","40,656","39,166","51,252","40,220","44,954","53,309","51,252",,"48,318","45,816","37,774",
"China, P.R.: Hong Kong",,,,,,,,,,,,,,,,,,"92,855","89,683","96,287","102,194","104,968","106,670","111,894","116,409","114,147","126,702","139,452","164,199","245,464","256,907","270,492","300,686","311,195","328,483","358,807","386,199","431,552","424,418","441,622","491,829","496,759","491,334","491,557","494,666","496,759",,"481,634","447,232","419,129",
"China, P.R.: Macao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, P.R.: Mainland",,,,,,,,,,,,,,,,,,,,,,,,,"618,574","825,693","1,080,767","1,547,318","1,966,200","2,453,177","2,914,184","3,255,786","3,387,863","3,880,383","3,899,292","3,406,112","3,097,845","3,235,895","3,167,992","3,222,933","3,356,529","3,426,909","3,297,095","3,345,897","3,373,016","3,426,909",,"3,373,159","3,246,594","3,193,579",
Colombia,"5,363","5,581","4,858","3,105","1,906","2,191","3,583","3,583","3,934","4,092","4,731","6,607","7,813","7,946","8,114","8,462","9,939","9,908","8,733","8,102","8,730","9,953","10,539","10,601","13,141","14,552","15,036","20,526","23,545","24,970","28,063","31,894","36,962","43,111","46,807","46,223","46,185","47,138","47,895","52,652","58,500","58,019","58,370","58,357","58,161","58,019","56,704","57,440","56,598","55,761","56,704"
"Comoros, Union of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep. of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,683","1,006","1,076",728,729,650,"1,046",709,,,,,,,,,,
"Congo, Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,"2,071","3,103","4,160","3,812","4,073","4,630","4,758","6,859","7,333","7,214","7,836","7,574","7,150","7,492","8,944","7,238","6,928","7,180","7,148","7,579","6,928",,"7,066","6,207","7,575",
Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,"1,314","1,798","2,519","2,253","3,267","3,624","4,316","3,928","4,225","4,487","4,702","4,147","6,257","6,341","7,420","9,494","10,615",,,,,,,,,
"Croatia, Rep. of",,,,,,,,,,,,,,,,,,,"2,816","3,025","3,524","4,703","5,885","8,191","8,758","8,800","11,488","13,675","12,957","14,895","14,132","14,484","14,807","17,767","15,424","14,967","14,245","18,819","19,993","20,774","23,257","28,309","24,782","25,650","28,403","28,309",,"26,636","26,270","25,171",
Curaçao and Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,205","2,260","1,764","1,912","1,819","1,972","2,020","1,861","1,497","1,775","1,766",,,,,,,,,
"Curaçao, Kingdom of the Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,654","1,695","1,323","1,434","1,347","1,452","1,515","1,395","1,123","1,331","1,324",,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,"1,870","2,396","3,122","3,489","4,075","4,329","5,865","6,512","1,003","1,291","1,148","1,214","1,201",918,890,806,817,888,928,"1,033","1,239","1,613","1,127","1,156","1,574","1,613",,"1,656","1,575","1,551",
Czech Rep.,,,,,,,,,,,,,,"3,872","6,243","14,023","12,435","9,774","12,617","12,825","13,139","14,464","23,710","26,957","28,450","29,555","31,454","34,905","37,013","41,611","42,493","40,291","44,883","56,217","54,493","64,491","85,729","147,976","142,512","149,855","166,121","173,613","163,644","167,058","169,152","173,613",,"173,689","154,618","132,625",
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,"8,376","11,597","11,142","9,160","11,933","14,569","19,279","16,136","22,670","15,056","18,106","27,773","38,194","40,102","34,058","31,218","34,392","42,428","76,783","76,709","85,231","90,440","88,648","75,068","64,710","63,605","74,845","70,685","66,803","72,756","82,145","71,307","74,349","79,079","82,145",,"80,057","74,639","72,785",
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,101,94,86,117,130,174,218,232,229,235,425,392,366,407,565,454,494,677,578,651,611,743,578,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,101,126,222,212,191,155,166,181,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,630,279,823,"1,929","2,281","2,980","2,662","3,307","3,765","4,098","3,559","4,701","4,862","5,266","6,047","6,781","7,628","8,782","10,752","13,034","12,174","12,611","12,933","13,034",,"14,596","14,456","13,808",
Eastern Caribbean Currency Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,222","1,457","1,599","1,724","1,780","1,772","1,718","1,766","2,068",,,,,,,,,
Ecuador,,,,,,,,,,,,,,"1,324","1,904","1,730","1,976","2,227","1,768",874,"1,180","1,074","1,008","1,161","1,438","2,147","2,023","3,521","4,473","3,792","2,622","2,958","2,483","4,361","3,949","2,496","4,218","2,007","2,160","2,934","7,133","7,898","5,779","6,050","6,293","7,898",,"9,226","8,585","8,381",
"Egypt, Arab Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,"14,477","21,231","25,155","31,178","33,047","33,468","36,200","18,307","14,847","16,560","14,877","15,883","23,618","36,358","41,805","44,569","38,973","39,787","39,180","39,447","39,685","39,787",,"35,328","31,535",,
El Salvador,,,,,,,,,,,,,,707,813,960,"1,100","1,462","1,765","1,972","1,893","1,712","1,591","1,910","1,893","1,833","1,908","2,199","2,545","2,986","2,882","2,503","3,175","2,745","2,693","2,787","3,238","3,567","3,569","4,446","3,083","3,426","2,449","2,664","3,450","3,426",,"3,867","3,984","3,777",
"Equatorial Guinea, Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eritrea, The State of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estonia, Rep. of",,,,,,,,,,,,,,,,,640,760,813,856,923,823,"1,003","1,387","1,794","1,943","2,791","3,298","3,923","3,982","2,550",207,301,316,437,415,353,345,816,"1,423","1,997","2,372","2,381","2,433","2,679","2,372","2,217","2,700","2,338","2,264","2,217"
"Eswatini, Kingdom of",,92,78,95,81,85,98,129,133,183,208,223,303,239,243,277,282,290,355,370,346,276,295,275,284,253,383,661,759,878,678,520,663,766,690,550,566,574,449,449,555,581,627,566,584,581,,476,,,
"Ethiopia, The Federal Dem. Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro Area,,,,,,,,,,,,,,,,,,,,"373,683","351,977","346,051","383,932","387,354","382,792","377,545","429,176","511,160","520,785","666,014","789,544","862,815","909,438","747,360","743,403","701,398","745,797","803,037","823,168","913,604","1,079,026","1,197,132","995,986","1,032,785","1,160,590","1,197,132",,"1,224,186","1,165,543","1,107,150",
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fiji, Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,,315,310,519,317,566,716,831,915,937,911,914,902,"1,108",939,"1,035","1,074","1,511","1,145","1,528","1,501","1,511",,"1,483","1,537","1,532",
Finland,"2,150","1,801","1,779","1,476","3,020","4,134","2,221","6,957","6,880","5,648","10,245","8,137","5,626","5,788","11,122","11,210","7,839","9,490","9,787","8,679","8,408","8,420","9,825","11,174","12,912","11,330","7,498","8,383","8,342","11,451","9,551","10,339","11,077","11,256","10,664","10,574","10,882","10,419","10,307","11,418","13,478","16,750","13,049","13,357","16,578","16,750","16,049","16,621","15,940","15,247","16,049"
France,"79,759","56,233","53,370","51,630","47,829","54,748","65,362","75,331","59,764","58,799","68,696","63,260","57,134","55,274","57,956","58,609","57,304","55,650","70,093","67,927","63,553","58,638","61,696","70,763","77,353","74,360","98,240","115,716","102,926","133,078","166,224","171,896","184,523","144,927","143,449","138,163","146,770","156,401","166,628","188,866","224,503","244,498","205,529","212,632","237,604","244,498",,"251,210","239,922","226,691",
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,136,113,162,202,196,387,478,931,"1,361","1,480","2,110","2,264","2,818","2,873","2,823","2,699","2,521","2,756","3,039","3,288","3,506","3,911","4,273","4,102","3,919","4,077","4,273",,"4,030","3,922","4,312",
Germany,"41,100","34,513","35,550","29,941","25,929","33,947","47,193","75,999","53,188","57,444","69,627","62,503","87,578","69,588","73,351","84,623","76,902","70,794","80,107","93,475","87,295","82,159","89,142","96,835","97,170","101,676","111,638","136,234","138,044","180,848","216,496","238,854","248,857","198,207","192,750","173,684","185,287","200,090","198,230","223,832","268,777","296,039","245,532","253,848","285,869","296,039",,"308,358","292,064","274,210",
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,276","2,783","2,016","3,300","4,783","5,549","5,344","5,307","4,991","5,524","5,706","6,934","6,257","7,571","7,944","8,943",,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,"9,458","10,145","12,255","6,169","9,432","5,801","2,708","2,287","2,850","3,658","3,500","5,547","6,368","6,899","7,256","5,753","6,212","6,026","6,892","7,807","7,585","8,502","11,943","14,458","10,617","10,849","14,120","14,458",,"14,497","11,428","10,981",
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,170,198,208,199,234,236,293,348,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,"3,777","4,055","4,315","4,655","5,209","5,950","6,184","6,690","7,269","7,329","7,746","9,156","11,765","12,751","14,784","18,464","20,935","18,695","18,744","19,823","20,935",,"20,759","19,870","20,421",
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,272,234,649,707,781,870,466,592,687,782,"1,086",,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,69,103,166,72,80,81,121,118,174,158,220,165,186,287,332,226,457,472,497,485,508,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597,584,522,578,683,816,629,616,824,816,,680,,,
Haiti,,,,,,,,,,,,,,,,,,,293,329,272,277,228,207,257,279,387,596,759,949,"1,794","2,002","2,286","2,319","1,858","1,752","1,970","2,156","2,149","2,178","2,495","2,528",,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,"1,949","2,305","2,607","2,508","2,450","2,111","2,702","2,785","2,532","3,008","3,458","3,755","3,814","4,708","4,769","5,744","8,138","8,666","8,242","8,635","8,962","8,666",,"8,531","8,341","8,198",
Hungary,,,,,,,,,,,,,,,,"12,095","9,832","8,437","9,348","10,999","11,241","10,788","10,428","12,840","15,965","18,603","21,589","24,052","33,874","44,183","44,988","48,835","44,670","46,508","42,019","33,124","25,824","28,002","31,361","31,831","41,353","43,478","37,594","36,616","44,406","43,478",,"41,147","39,119","38,095",
Iceland,,,,,,,312,313,290,329,427,442,497,428,298,315,460,385,427,493,404,355,462,819,"1,074","1,069","2,342","2,632","3,565","3,883","5,777","8,534","4,185","4,219","4,177","5,038","7,230","6,575","6,327","6,786","6,420","7,079","6,788","6,944","7,204","7,079","5,888","6,875","6,588","6,131","5,888"
India,,,,,,,,,,,,,,,,,"26,848","29,895","32,826","38,820","42,818","55,412","75,263","107,544","142,030","150,246","177,195","275,281","255,877","283,474","297,752","297,950","297,806","296,219","322,525","350,008","359,550","409,721","396,116","460,665","586,178","633,748","574,184","611,178","635,654","633,748",,"606,784","589,404","531,619",
Indonesia,,,,,,,,,,,,,,,,,,,,,,"28,014","32,042","36,297","36,321","34,724","42,587","56,922","51,638","66,116","96,207","110,132","112,773","99,387","111,862","105,929","116,370","130,203","120,654","129,183","135,897","144,905","137,096","137,092","146,840","144,905","137,233","139,123","136,347","130,808","137,233"
"Iran, Islamic Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,041","31,455","50,206","44,336","50,643","61,041","70,327","77,743","65,654",,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,879,843,940,"1,038","2,155","2,115","1,703","1,706","1,623","1,733","2,191","3,579","4,400","5,206","5,656","7,336","13,228","7,710","7,820","12,455","13,228",,"12,911","12,422","12,550",
Israel,,,,,,,,,,"5,330","6,316","6,406","5,333","6,770","7,164","8,388","11,648","20,405","22,750","22,667","23,260","23,444","24,356","26,693","27,408","28,128","29,159","28,500","42,538","60,747","71,190","75,341","76,417","82,621","86,580","90,984","98,430","113,274","115,782","126,543","174,072","213,743","186,445","200,898","204,692","213,743","195,092","206,941","194,618","186,781","195,092"
Italy,"61,220","50,231","38,592","46,934","42,942","39,466","46,012","64,428","64,394","74,627","92,845","83,329","52,037","50,803","57,615","60,321","70,988","77,091","53,620","45,309","47,056","46,216","55,622","63,256","62,388","65,955","75,774","94,325","105,275","132,797","158,855","173,303","181,670","145,487","142,223","130,770","136,043","151,200","152,510","175,255","210,956","227,699","192,807","201,893","219,605","227,699",,"234,698","222,461","208,984",
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,"2,087","2,318","1,878","1,773","1,752","2,978","2,820","1,997","1,818","2,474","2,914","3,291","3,781","3,532","3,631","4,081","4,839","4,244","4,286","4,849","4,839",,"4,325","4,393","4,350",
Japan,,,,,,,,,,,,,,,,,"217,603","220,807","215,825","287,658","360,990","400,413","467,625","673,060","842,519","842,980","894,791","967,392","1,024,639","1,053,878","1,105,218","1,293,386","1,264,796","1,268,023","1,252,494","1,232,756","1,220,418","1,261,272","1,265,290","1,323,107","1,387,860","1,415,654","1,365,143","1,373,689","1,405,126","1,415,654","1,222,571","1,348,660","1,305,837","1,233,849","1,222,571"
Jordan,"2,017","1,968","1,788",,,,,,,,,,,,,,"1,957","2,401","1,955","2,749","3,430","3,174","4,117","5,366","5,446","5,448","6,978","7,929","8,916","12,123","13,617","12,084","8,817","13,805","16,021","16,546","15,518","15,559","14,556","15,380","16,936","19,018","16,552","16,708","17,895","19,018",,"19,015",,,
"Kazakhstan, Rep. of",,,,,,,,,,,,,,,,,,"2,289","1,965","2,002","2,096","2,508","3,141","4,962","9,281","7,070","19,127","17,629","19,849","23,077","28,246","29,301","28,269","24,715","29,209","27,871","29,713","30,999","30,927","28,958","35,638","34,378","33,506","35,049","35,513","34,378",,"33,124","31,952","32,645",
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900","3,840","4,008","4,249","5,713","6,649","8,013","7,498","7,347","7,332","8,365",,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,390,521,600,598,648,551,565,619,677,812,774,"1,118","1,000","1,111","1,034","1,079","1,073","1,111",,,,,
"Korea, Rep. of",,,,,,,,,,,,,,,"22,340","29,350","29,422","8,872","48,510","74,054","96,198","102,822","121,414","155,355","199,069","210,391","238,957","262,224","201,220","270,012","291,571","306,422","326,969","346,460","363,594","367,958","371,116","389,279","403,694","408,816","443,098","463,118","446,129","454,104","463,911","463,118","423,164","457,798","438,209","416,821","423,164"
"Kosovo, Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,,,,960,933,830,832,731,959,957,783,771,638,820,881,969,"1,104","1,246",959,"1,125","1,420","1,246",,"1,268","1,329","1,444",
