Country,BCA,BCA_NGDPD,GGR,GGR_NGDP,GGSB,GGSB_NPGDP,GGX,GGX_NGDP,GGXCNL,GGXCNL_NGDP,GGXONLB,GGXONLB_NGDP,GGXWDG,GGXWDG_NGDP,GGXWDN,GGXWDN_NGDP,LE,LP,LUR,NGAP_NPGDP,NGDP,NGDP_D,NGDP_FY,NGDP_R,NGDP_RPCH,NGDPD,NGDPDPC,NGDPPC,NGDPRPC,NGDPRPPPPC,NGSD_NGDP,NID_NGDP,PCPI,PCPIE,PCPIEPCH,PCPIPCH,PPPEX,PPPGDP,PPPPC,PPPSH,TM_RPCH,TMG_RPCH,TX_RPCH,TXG_RPCH,Grand Total
Afghanistan,2.247,11.157,397.564,25.694,,,432.266,27.937,-34.703,-2.243,-34.131,-2.206,114.461,7.397,,,,32.941,,,1547.29,120.05,1547.29,1288.87,-2.351,20.136,611.268,46972.1,39127.08,2328.76,27.619,16.462,120.671,122.1,4.987,5.607,19.123,80.912,2456.29,0.061,-2.925,-2.844,0.534,-16.606,2631.645
Albania,-1.315,-8.677,425.906,25.905,,,536.28,32.619,-110.374,-6.713,-75.98,-4.621,1248.3,75.927,1148.35,69.848,,2.878,11.675,,1644.08,203.32,1644.08,808.617,-3.482,15.161,5268.24,571296.57,280984.5,13394.46,14.074,22.79,108.613,108.225,1.051,1.621,40.437,40.658,14128,0.031,-19.517,-5.044,-27.509,-1.677,22325.93268
Algeria,-18.711,-12.677,5640.94,30.128,,,6902.89,36.868,-1261.95,-6.74,-1206.03,-6.441,9609.71,51.324,8098.51,43.253,,43.851,14.652,,18723.5,261.583,18723.5,7157.75,-4.9,147.6,3365.93,426980,163228.98,10747.35,29.921,42.597,211.18,215.21,3.516,2.415,37.666,497.091,11335.92,0.375,-18.914,-18.097,-4.154,-9.322,17240.40685
Andorra,0.422,14.634,1.022,40.371,,,1.093,43.189,-0.071,-2.818,,,1.173,46.329,,,0.045,0.078,2.85,,2.531,106.557,2.531,2.375,-11.184,2.885,36973.85,32443.63,30447.35,49728.24,,,102.298,102.385,-0.202,0.257,0.619,4.092,52451.57,0.003,,,,,6532.519484
Angola,0.872,1.497,7052.76,20.937,324.156,0.802,7690.86,22.831,-638.098,-1.894,1661.67,4.933,46090.59,136.826,,,,31.031,,,33685.67,2310.2,33685.67,1458.13,-5.554,58.254,1877.25,1085537.16,46988.9,6450.63,26.272,24.776,431.227,477.015,25.103,22.277,159.547,211.134,6803.89,0.159,-33.2,-33.561,-7.335,-6.421,32885.81964
Antigua and Barbuda,-0.252,-18.355,0.755,20.399,,,0.99,26.761,-0.235,-6.362,-0.14,-3.797,3.754,101.477,,,,0.098,,,3.7,126.318,3.7,2.929,-20.192,1.37,13997.54,37793.35,29919.2,17299.23,12.93,31.284,102.109,103.61,2.778,1.058,2.071,1.786,18246.61,0.001,-35.668,-28.343,-50.457,-30.247,3178.696216
Argentina,3.313,0.852,9197.04,33.466,-1694.54,-5.727,11567.47,42.092,-2370.42,-8.626,-1708.18,-6.216,28248.09,102.79,,,,45.388,11.55,,27481.44,4400.78,27481.44,624.468,-9.895,389.064,8571.94,605476.78,13758.4,19685.74,18.765,17.913,619.207,722.878,36.141,42.015,29.16,942.43,20763.82,0.711,-10.722,-10.588,-13.124,-13.167,19361.59845
Armenia,-0.479,-3.787,1560.66,25.247,,,1894.65,30.649,-333.993,-5.403,-169.382,-2.74,3923.89,63.476,,,,2.962,18.1,,6181.66,162.702,6181.66,3799.37,-7.395,12.641,4267.49,2086839.12,1282611.02,12631.53,14.746,18.532,218.396,229.594,3.746,1.226,156.631,39.466,13323.29,0.03,-30.991,-17.325,-35.571,-20.846,90094.33084
Aruba,-0.326,-13.056,1.071,23.969,,,1.82,40.724,-0.749,-16.755,-0.514,-11.51,5.146,115.135,,,,0.111,14,,4.469,106.575,4.469,4.194,-22.32,2.497,22483.49,40245.44,37762.58,28424.05,6.297,,123.624,122.518,-3.066,-1.312,1.342,3.329,29980.68,0.003,,,,,4830.543182
Australia,35.224,2.595,709.497,36.09,-159.068,-7.834,878.266,44.674,-168.769,-8.585,-149.658,-7.613,1136.85,57.828,679.567,34.567,12.668,25.684,6.492,-4.108,1965.92,100.348,1965.92,1959.11,-2.179,1357.32,52847.68,76543.98,76278.79,49088.42,24.87,22.271,116.175,117.1,0.861,0.89,1.478,1329.81,51776.72,1.004,-13.014,-2.261,-9.822,-4.074,7241.401909
Austria,8.221,1.899,184.915,48.749,-22.224,-5.736,216.438,57.06,-31.524,-8.311,-28.011,-7.384,315.644,83.213,225.736,59.511,4.281,8.901,5.4,-2.105,379.321,108.886,379.321,348.364,-6.735,432.912,48636.3,42615.5,39137.6,52262.89,27.8,25.901,131.81,131.692,1.037,1.392,0.773,490.668,55125.04,0.37,-9.377,-6.463,-10.759,-7.816,5484.343182
Azerbaijan,-0.228,-0.533,24.473,33.72,,,29.207,40.242,-4.734,-6.523,-4.129,-5.689,15.479,21.327,,,,10.067,7.157,,72.578,253.606,72.578,28.619,-4.31,42.693,4240.84,7209.44,2842.78,13758.21,22.794,24.235,263.348,266.129,2.72,2.824,0.497,146.09,14511.67,0.11,-9.744,-8.537,-9.02,-10.44,1154.724895
Bahrain,-3.245,-9.344,2.329,17.838,,,4.661,35.698,-2.332,-17.86,-1.669,-12.787,16.938,129.734,,,,1.472,5.9,,13.056,105.716,13.056,12.35,-4.936,34.723,23585.91,8868.3,8388.81,48018.45,25.929,35.274,97.58,97.8,-1.61,-2.324,0.175,74.564,50648.16,0.056,-0.702,-11.667,-2.549,-11.423,3688.211342
Bangladesh,-5.435,-1.682,2684.68,9.8,,,4219.33,15.403,-1534.65,-5.602,-951.489,-3.473,10825.32,39.518,,,,164.689,,,27393.32,239.327,27393.32,11445.97,3.509,323.057,1961.61,166333.27,69500.38,5012.94,28.67,30.468,282.685,303.952,6.021,5.648,32.333,870.79,5287.47,0.657,-3.347,-3.103,-14.166,-16.187,8969.594676
Barbados,-0.323,-6.902,2.702,29.837,-0.43,-3.937,3.132,34.581,-0.43,-4.744,-0.087,-0.961,13.287,146.713,13.17,145.424,,0.288,21.279,,9.354,118.731,9.056,7.878,-13.73,4.677,16245.06,32490.11,27364.57,13290.28,11.25,18.152,197.208,202.1,1.253,2.882,2.318,4.036,14018.11,0.003,-11.571,2.172,-37.716,-17.949,2483.591262
Belarus,-0.259,-0.423,52.664,35.175,-4.668,-3.14,56.962,38.045,-4.298,-2.87,-1.816,-1.213,71.107,47.493,,,,9.41,4.082,,149.721,121.473,149.721,123.254,-0.673,61.312,6515.65,15910.82,13098.22,19176.06,27.032,27.455,869.354,898.628,7.336,5.536,0.787,190.329,20226.23,0.144,-8.941,-9.086,0.815,0.1,1945.9382
Belgium,4.383,0.84,228.978,50.116,-35.024,-7.443,270.41,59.184,-41.432,-9.068,-33.744,-7.386,515.238,112.77,447.913,98.034,4.978,11.522,5.733,-2.906,456.894,108.588,456.894,420.758,-5.66,521.445,45254.72,39652.54,36516.4,49036.14,25.002,24.161,108.227,108.76,0.351,0.428,0.767,595.959,51721.57,0.45,-7.014,-7.014,-6.493,-6.493,5151.147182
Belize,-0.128,-8.067,0.967,30.485,,,1.254,39.535,-0.287,-9.05,-0.222,-6.995,4.22,133.078,,,,0.419,13.7,,3.171,131.562,3.171,2.41,-16.748,1.586,3781.35,7562.69,5748.4,5542.99,13.639,21.706,100,100,0.381,0.078,1.294,2.452,5846.55,0.002,-22.83,-22.244,-34.205,-31.023,761.4550263
Benin,-0.274,-1.746,1294.3,14.367,,,1718.07,19.071,-423.772,-4.704,-247.489,-2.747,4156.85,46.142,,,,12.146,,,9008.81,103.479,9008.81,8705.92,3.849,15.674,1290.5,741720.77,716783.16,3316.95,23.887,25.634,104.171,102.633,1.159,3.049,212.005,42.493,3498.6,0.032,0.141,-1.497,5.139,5.367,40555.70132
Bhutan,-0.301,-12.442,54.604,31.19,,,57.989,33.124,-3.385,-1.934,-2.554,-1.459,229.625,131.164,,,,0.745,5,,175.067,256.229,175.067,68.324,-2.382,2.416,3241.24,234894.63,91673.61,11267.23,12.871,34.709,249.69,249.906,4.54,4.15,19.765,8.857,11884.27,0.007,-14.409,-15.295,-2.945,2.719,9334.516632
Bolivia,-0.141,-0.382,63.935,25.26,,,96.122,37.976,-32.187,-12.717,-28.405,-11.222,197.754,78.129,172.652,68.212,,11.63,8.3,,253.112,563.061,253.112,44.953,-8.738,36.897,3172.56,21763.73,3865.26,7882.11,12.47,15.778,104.422,104.581,0.67,0.942,2.618,96.689,8313.77,0.073,-23.841,-23.841,-18.824,-18.824,1176.6914
Bosnia and Herzegovina,-0.752,-3.768,14.139,41.276,-1.088,-3.074,15.742,45.956,-1.603,-4.68,-1.35,-3.941,12.514,36.533,8.545,24.946,,3.487,15.9,,34.255,108.94,34.255,31.444,-3.119,19.951,5721.46,9823.58,9017.42,13750.52,18.897,22.664,100.117,104.64,-1.052,-1.052,0.677,50.574,14503.56,0.038,-13.308,-11.896,-17.044,-6.936,1273.508738
Botswana,-1.62,-10.848,46.263,26.044,-14.825,,65.843,37.068,-19.58,-11.023,-18.412,-10.365,33.706,18.975,25.607,14.416,,2.352,,,171.042,101.977,177.631,167.726,-8.726,14.93,6348.81,72733.49,71323.39,14667.62,23.825,32.794,346.538,339.785,2.153,1.89,4.701,36.382,15470.88,0.027,5.155,15.579,-18.112,-14.317,4553.219275
Brazil,-24.492,-1.691,2205.55,29.535,-912.108,-11.731,3201.16,42.867,-995.613,-13.332,-683.186,-9.149,7369.16,98.682,4670,62.537,,211.756,13.775,,7467.62,645.17,7467.62,1157.47,-3.879,1448.55,6840.66,35265.19,5466.03,14117.32,14.24,15.931,3.54572E+13,3.66401E+13,4.517,3.212,2.368,3153.14,14890.45,2.38,-8.64,-3.458,-1.367,0.038,1.7166E+12
Brunei Darussalam,0.542,4.518,2.892,17.465,,,5.499,33.205,-2.607,-15.74,-2.607,-15.74,0.473,2.857,,,,0.443,6.822,,16.561,85.756,16.561,19.311,1.113,12.003,27068.33,37347.3,43550.42,61354.68,,40.597,100.899,101.376,2,1.937,0.577,28.696,64714.73,0.022,-2.055,10.757,7.525,11.651,6338.615378
Bulgaria,-0.184,-0.263,42.028,35.037,-2.153,-1.852,45.559,37.981,-3.532,-2.944,-3.383,-2.82,27.953,23.304,16.083,13.408,,6.917,5.207,,119.951,123.779,119.951,96.907,-4.387,69.995,10119.91,17342.62,14010.95,22506.52,20.077,20.34,106.274,106.43,0.019,1.219,0.731,164.192,23739.08,0.124,-5.021,-2.967,-10.585,-4.423,2116.143619
Burkina Faso,-0.026,-0.149,1975.34,19.776,,,2544.28,25.472,-568.942,-5.696,-428.365,-4.289,4648.69,46.541,,,,20.912,,,9988.37,110.344,9988.37,9052.05,1.93,17.378,831.013,477628.31,432855.25,2157.62,23.514,23.662,104.153,104.15,2.318,1.885,209.875,47.592,2275.78,0.036,5.275,3.853,-7.054,-4.581,25775.53073
Burundi,-0.315,-10.212,1320.17,22.336,,,1709.39,28.921,-389.217,-6.585,-214.878,-3.635,3898.92,65.965,,,,11.875,,,5910.57,330.901,5910.57,1786.21,0.335,3.086,259.906,497734.45,150417.99,732.311,9.718,19.931,118.983,123.1,7.511,7.305,644.387,9.172,772.416,0.007,-17.818,-16.056,-15.366,-21.629,18139.47905
Cabo Verde,-0.271,-15.895,43.751,26.53,,,58.776,35.641,-15.024,-9.111,-10.259,-6.221,261.905,158.816,238.604,144.687,,0.557,8.5,,164.911,115.009,164.911,143.39,-14.783,1.707,3065.48,296171.34,257520.48,6036.15,20.211,36.106,101.718,101.42,-0.853,0.605,46.519,3.545,6366.72,0.003,-8.005,4.545,-53.215,-10.395,14272.46263
Cambodia,-3.057,-12.134,25334.52,24.475,,,28935.45,27.954,-3600.93,-3.479,-3220.06,-3.111,35470.78,34.267,,,,15.678,,,103511.61,188.866,103511.61,54807.02,-3.13,25.192,1606.81,6602347.81,3495791.39,4470.67,13.317,25.452,182.645,185.125,2.876,2.94,1400.14,73.93,4715.5,0.056,-3.129,-1.144,-5.416,19.656,282591.0851
Cameroon,-1.517,-3.713,3145.32,13.392,,,3894.11,16.58,-748.787,-3.188,-551.257,-2.347,10534.08,44.852,10104.15,43.021,,26.546,,,23486.47,104.65,23486.47,22442.83,0.534,40.863,1539.35,884750.63,845436.17,3668.81,13.512,17.743,261.369,263.841,2.119,2.451,228.634,102.725,3869.73,0.078,-15.625,-13.38,-6.972,-5.932,47081.75159
Canada,-29.389,-1.786,919.047,41.647,-196.631,-8.611,1169.75,53.007,-250.698,-11.36,-241.38,-10.938,2598.58,117.755,742.313,33.638,18.004,37.995,9.583,-3.356,2206.76,110.371,2206.76,1999.41,-5.233,1645.42,43306.64,58080.81,52623.25,46405.46,20.471,22.257,136.958,137.9,0.706,0.717,1.187,1859.72,48946.83,1.404,-10.839,-7.295,-9.71,-8.135,6014.977023
Central African Republic,-0.202,-8.462,298.587,21.755,,,344.724,25.116,-46.137,-3.362,-41.897,-3.053,596.103,43.432,,,,4.83,,,1372.51,178.202,1372.51,770.198,0.959,2.388,494.408,284163.01,159461.39,937.456,10.427,18.89,211.235,212.811,1.837,0.881,287.383,4.776,988.795,0.004,0.14,1.827,-0.278,9.353,12208.98773
Chad,-0.81,-7.555,1304.19,21.152,,,1176.94,19.088,127.249,2.064,187.59,3.042,3212.19,52.097,,,,16.426,,,6165.75,115.563,6165.75,5335.43,-2.157,10.728,653.088,375365.52,324815.95,1515.06,15.928,23.483,109.983,108.6,3.036,4.464,234.892,26.249,1598.04,0.02,-2.739,-4.68,2.982,-0.658,19685.7823
Chile,-4.777,-1.892,44245.63,22.12,-4739.34,-2.237,58550.15,29.272,-14304.52,-7.151,-13256.84,-6.628,65167.46,32.58,26782.02,13.389,,19.458,10.77,,200022.74,111.537,200022.74,179332.97,-6.063,252.501,12976.52,10279553.65,9216266.2,22061.27,19.924,21.598,105.37,106.784,2.91,3.044,441.762,452.784,23269.45,0.342,-12.809,-10.137,-1.203,2.679,483274.9054
China,248.838,1.674,26342.87,25.685,-9624.02,-9.046,37310.05,36.378,-10967.18,-10.693,-9984.28,-9.735,69806.87,68.063,,,,1412.12,4.24,,102562.84,112.142,102562.84,91457.91,2.244,14862.56,10525,72630.4,64766.38,16226.1,44.531,42.857,111.447,111.046,-0.305,2.392,4.244,24168.03,17114.71,18.242,-0.967,0.002,2.121,4.781,15549.58453
Colombia,-9.207,-3.405,265500.87,26.584,-44618.65,-4.071,335167.38,33.56,-69666.52,-6.976,-43537,-4.359,655736.41,65.658,545406.67,54.611,,50.372,16.067,,998718,121.927,998718,819114,-7.048,270.415,5368.32,19826681.36,16261159.08,13672.27,15.84,19.244,105.142,105.98,1.591,2.524,1374.85,726.422,14421.02,0.548,-15.919,-15.919,-9.117,-9.117,966303.5097
Comoros,-0.02,-1.608,95.807,18.251,,,98.483,18.761,-2.676,-0.51,-1.394,-0.266,116.991,22.286,,,,0.897,,,524.947,125.468,524.947,418.392,-0.342,1.218,1357.29,585082.1,466321.18,2890.88,14.708,16.316,177.132,173.808,-4.773,0.8,191.881,2.736,3049.2,0.002,5.75,12.491,-33.453,-30.548,28680.7333
Costa Rica,-0.709,-1.141,5077.37,13.966,-2509.43,-6.667,8146.61,22.408,-3069.24,-8.442,-1368.29,-3.764,24419.52,67.167,,,,5.128,19.98,,36356.27,104.979,36356.27,34631.89,-4.051,62.144,12117.61,7089193.86,6752952.58,19249.23,14.662,15.804,99.301,100,0.892,0.725,349.163,104.124,20303.4,0.079,-10.19,-10.19,-10.939,0.934,350819.5753
Côte d'Ivoire,-1.974,-3.214,5289.19,14.979,,,7255.05,20.546,-1965.86,-5.567,-1302.04,-3.687,16606.53,47.029,,,,26.958,,,35311.38,97.859,35311.38,36083.94,1.951,61.437,2279.02,1309877.32,1338535.45,5069.55,19.075,22.131,106.352,107.466,2.312,2.415,244.966,144.148,5347.18,0.109,10.487,10.487,-3.306,-3.306,75530.20927
Croatia,-0.064,-0.113,178.304,47.127,-20.524,-5.152,206.158,54.489,-27.854,-7.362,-21.294,-5.628,330.229,87.281,#DIV/0!,#DIV/0!,,4.048,9,,378.351,104.964,378.351,360.457,-8.1,57.204,14131.44,93466.16,89045.7,27053.24,23.796,23.909,102.383,102.2,-0.68,0.106,3.276,115.509,28534.8,0.087,-12.26,-8.837,-22.726,0.257,6366.4558
Cyprus,-2.485,-10.071,8.492,39.282,-1.175,-4.067,9.725,44.984,-1.233,-5.702,-0.8,-3.698,24.852,114.961,12.15,56.204,0.417,0.888,7.575,-1.36,21.618,101.677,21.618,21.261,-4.985,24.672,27783.76,24344.35,23942.77,39200.15,9.055,19.016,99.674,99.72,-0.885,-1.098,0.589,36.716,41346.92,0.028,-2.548,-7.36,-5.106,-2.518,3575.864386
Czech Republic,8.768,3.574,2371.1,41.639,-288.795,-5.006,2689.12,47.224,-318.015,-5.585,-284.182,-4.991,2149.4,37.746,1345.84,23.634,5.239,10.694,2.541,,5694.39,113.982,5694.39,4995.88,-5.798,245.339,22941.9,532487.33,467169.49,38672.9,29.494,25.92,111.767,111.9,2.285,3.161,13.054,436.214,40790.79,0.329,-6.859,-4.681,-6.922,-4.948,26217.23842
Democratic Republic of the Congo,-1.095,-2.248,8072.74,8.952,,,9358.35,10.377,-1285.61,-1.426,-1067.01,-1.183,14084.97,15.619,,,,90.794,,,90181.05,700.146,90181.05,12880.32,1.735,48.707,536.45,993248.07,141862.93,1067.75,6.675,9.242,5764.77,2695.13,15.756,11.358,881.928,102.254,1126.22,0.077,1.066,-3.247,6.47,6.584,37043.66814
Denmark,28.982,8.139,1240.52,53.251,-20.412,-0.86,1244.79,53.434,-4.265,-0.183,-12.216,-0.524,980.804,42.103,344.886,14.805,2.847,5.823,5.658,-1.812,2329.56,111.43,2329.56,2090.6,-2.061,356.085,61153.92,400078.28,359039.17,56065.51,31.065,22.926,102.875,103.1,0.389,0.333,6.765,344.334,59135.9,0.26,-4.08,-1.473,-7.007,-2.195,21528.88673
Djibouti,0.366,10.743,132.58,21.876,,,142.368,23.491,-9.788,-1.615,-8.837,-1.458,248.718,41.038,241.765,39.891,,0.988,,,606.063,110.371,606.063,549.114,1,3.41,3451.61,613422.96,555782.04,5482.17,40.987,30.243,110.383,109.997,0.31,1.777,106.084,5.713,5782.4,0.004,-29.363,-30.878,-29.504,-31.535,30434.96269
Dominica,-0.163,-29.957,0.845,56.341,,,0.955,63.657,-0.11,-7.316,-0.079,-5.294,1.61,107.33,,,,0.073,,,1.469,129.921,1.5,1.131,-10.997,0.544,7415.08,20020.71,15409.93,11322.81,-7.421,22.535,104.504,104.37,-0.704,-0.727,1.676,0.876,11942.89,0.001,-34.831,-29.34,-48.963,37.207,1799.244946
Dominican Republic,-1.541,-1.953,632.252,14.187,-152.943,-3.219,984.554,22.092,-352.302,-7.905,-207.909,-4.665,3187.98,71.533,2562.02,57.488,,10.448,5.829,,4456.66,181.897,4456.66,2450.09,-6.72,78.923,7553.51,426535.65,234492.46,17652.97,23.43,25.383,100.752,104.394,5.554,3.781,22.908,194.548,18619.73,0.147,-11.718,-9.388,-33.725,-14.042,17230.94762
Ecuador,2.565,2.583,29.408,29.618,-4.554,-4.439,35.476,35.73,-6.068,-6.111,-3.283,-3.307,60.458,60.89,,,,17.511,5.346,,99.291,149.802,99.291,66.282,-7.788,99.291,5670.33,5670.33,3785.22,10403.08,24.628,22.046,105.129,104.233,-0.933,-0.339,0.517,192.141,10972.8,0.145,-14.913,-12.215,0.216,5.054,942.136525
Egypt,-11.167,-3.068,1121.42,19.153,-407.228,-6.955,1580.93,27.001,-459.512,-7.848,73.094,1.248,5248.84,89.647,4905.74,83.787,,100.6,8.296,,5855,146.551,5855,3995.2,3.57,364.023,3618.52,58200.8,39713.72,12157.5,10.675,13.742,105.692,107.724,5.692,5.7,4.539,1290.02,12823.3,0.974,0.356,-1.565,-3.775,4.209,3729.551071
El Salvador,0.121,0.491,6.043,24.525,-1.079,-3.969,8.061,32.715,-2.018,-8.19,-0.937,-3.801,21.969,89.164,,,,6.486,11.973,,24.639,104.972,24.639,23.472,-7.942,24.639,3798.64,3798.64,3618.71,8056.56,18.397,17.906,112.027,112.2,-0.08,-0.37,0.447,55.118,8497.77,0.042,-7.135,-6.467,-21.221,-12.747,710.36025
Equatorial Guinea,-0.419,-4.183,819.733,14.211,,,920.589,15.959,-100.856,-1.748,-24.637,-0.427,2812.39,48.755,2186.28,37.901,,1.406,,,5768.44,119.852,5768.44,4812.96,-4.893,10.022,7126.5,4101914.27,3422474.19,16967.76,1.128,5.31,145.078,140.868,-0.471,4.798,229.196,25.168,17896.99,0.019,-7.81,-10.973,-0.55,-6.587,194618.0682
Eritrea,0.237,11.384,9.905,31.541,,,11.292,35.958,-1.387,-4.416,-0.881,-2.806,57.205,182.166,,,,3.546,,,31.403,92.547,31.403,33.931,-0.627,2.083,587.449,8855.79,9568.93,1725.91,18.823,7.44,536.071,548.692,4,4.842,4.865,6.455,1820.43,0.005,-1.323,-0.627,-7.341,-8.428,653.9585676
Estonia,-0.079,-0.258,10.811,40.289,-1.398,-5.048,12.313,45.885,-1.502,-5.596,-1.503,-5.601,5.098,18.996,0.818,3.048,0.657,1.329,6.806,-3.094,26.835,113.293,26.835,23.686,-2.951,30.626,23035.91,20184.25,17816,35341.82,29.986,30.244,109.795,109.62,-0.877,-0.634,0.541,49.559,37277.29,0.037,0.856,-2.156,-4.978,2.442,3052.727273
Eswatini,0.266,6.686,19.037,28.682,,,22.605,34.058,-3.568,-5.376,-2.124,-3.2,27.948,42.109,23.623,35.592,,1.127,,,65.432,155.698,66.371,42.025,-1.851,3.974,3526.66,58062.63,37291.82,8652.65,19.501,12.816,348.925,353.01,4.589,3.872,6.362,10.285,9126.51,0.008,-0.63,-0.63,-2.401,-2.401,3024.940769
Ethiopia,-4.444,-4.6,394.966,11.705,,,488.243,14.469,-93.277,-2.764,-79.796,-2.365,1811.93,53.697,1689.93,50.082,,97.175,,,3374.35,169.606,3374.35,1989.52,6.057,96.611,994.197,34724.59,20473.65,2756.87,26.582,30.752,175.618,181.948,18.169,20.354,11.942,282.569,2907.85,0.213,-4.538,-3.396,-8.058,2.23,1949.409923
Fiji,-0.578,-12.632,2.473,23.041,,,3.321,30.939,-0.848,-7.898,-0.503,-4.683,6.66,62.043,6.594,61.423,,0.9,13.351,,9.921,109.422,10.735,9.067,-15.151,4.574,5084.44,11027.08,10077.55,11485.36,,19.1,120.119,118.062,-2.817,-2.595,0.91,10.899,12114.35,0.008,,,,,1438.989629
Finland,2.264,0.834,122.492,51.468,-7.349,-2.989,135.399,56.892,-12.907,-5.423,-12.605,-5.296,164.183,68.986,79.244,33.296,2.494,5.525,7.758,-3.215,237.995,106.098,237.995,224.316,-2.3,271.619,49159.28,43073.74,40598.04,47442.51,25.317,24.484,103.976,104.3,0.192,0.383,0.861,276.489,50040.67,0.209,-6.643,-3.414,-7.473,-3.562,5286.048477
France,-49.845,-1.901,1210.93,52.633,-142.35,-5.889,1419.91,61.716,-208.987,-9.084,-181.282,-7.879,2649.3,115.152,2361.2,102.629,27.18,65.284,8.008,-4.817,2300.71,107.17,2300.71,2146.77,-7.987,2621.96,40162.15,35241.29,32883.41,43813.22,21.762,23.663,105.498,105.58,-0.18,0.526,0.763,3016.96,46212.62,2.277,-12.164,-10.652,-16.117,-14.994,4965.15575
Gabon,-0.924,-6.026,1552.95,17.615,,,1746.22,19.807,-193.267,-2.192,103.666,1.176,6816.33,77.317,,,,2.108,,,8816.14,156.304,8816.14,5640.37,-1.864,15.339,7277.37,4182701.39,2676001.82,15118.63,25.609,31.635,139.456,140.738,1.553,1.341,262.294,33.612,15946.6,0.025,-0.839,-0.839,13.045,13.045,187331.9917
Georgia,-1.966,-12.405,12.422,25.213,-2.761,-5.312,16.981,34.468,-4.559,-9.255,-3.79,-7.693,29.654,60.19,,,,3.717,18.5,,49.267,131.12,49.267,37.574,-6.76,15.846,4263.13,13254.79,10108.88,13988.18,11.452,23.857,140.564,141.311,2.405,5.202,0.898,54.84,14754.23,0.041,-17.914,-11.486,-37.011,-13.627,1427.4865
Germany,272.471,7.089,1566.89,46.529,-107.377,-3.106,1712.13,50.842,-145.246,-4.313,-131.09,-3.893,2314.33,68.724,1558.87,46.291,41.725,83.161,3.833,-2.604,3367.56,108.742,3367.56,3096.84,-4.56,3843.34,46215.6,40494.46,37239.09,51718.75,28.238,21.149,105.842,105.5,-0.659,0.371,0.742,4536.52,54551.09,3.424,-9.179,-5.319,-10.093,-8.992,5821.392545
Ghana,-2.158,-3.15,51.135,13.334,,,111.065,28.962,-59.93,-15.628,-35.33,-9.213,300.28,78.303,284.176,74.103,,30.779,,,383.486,231.025,383.486,165.993,0.414,68.498,2225.51,12459.49,5393.12,5497.81,16.087,19.238,257.758,269.845,10.473,9.885,2.149,178.482,5798.89,0.135,-6.203,0.334,-7.331,-7.331,876.8710513
