date,value1,value2,value3,Notes
1994,51.6,null,null,v1. PSNB (£billion). ONS
1995,43.8,null,null,"v2. PSNB (£billion). IFS, including EPG"
1996,35.3,null,null,"v3. PSNB (£billion). OBR, March forecast"
1997,27.7,null,null,
1998,8.9,null,null,
1999,-1.3,null,null,
2000,-11.5,null,null,
2001,-15.7,null,null,
2002,5.4,null,null,
2003,34.0,null,null,
2004,41.7,null,null,
2005,49.0,null,null,
2006,44.1,null,null,
2007,39.8,null,null,
2008,45.0,null,null,
2009,117.3,null,null,
2010,157.8,null,null,
2011,139.8,null,null,
2012,121.5,null,null,
2013,124.9,null,null,
2014,105.0,null,null,
2015,96.5,null,null,
2016,80.6,null,null,
2017,56.1,null,null,
2018,55.1,null,null,
2019,43.3,null,null,
2020,56.9,null,null,
2021,309.4,null,null,
2022,144.1,null,null,
2023,null,231.0,99,
2024,null,162.0,50,
2025,null,102.0,37,
2026,null,96.0,35,
2027,null,104.0,32,